,ID,Name,N_from,N_from_2023,N_to,N_to_2023,delay_frac_from,delay_frac_from_2023,delay_frac_to,delay_frac_to_2023
185,13377,"Monroe, LA: Monroe Regional",26827,1194,26877,1196,0.14638237596451337,0.1373534338358459,0.17412657662685568,0.10785953177257525
99,11648,"Kalispell, MT: Glacier Park International",25400,2507,25445,2511,0.10964566929133858,0.15915436777024333,0.14407545686775397,0.18518518518518517
31,10685,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",24942,1202,25000,1204,0.1491460187635314,0.1622296173044925,0.19156,0.12956810631229235
273,15323,"Bristol/Johnson City/Kingsport, TN: Tri Cities",23876,1835,23898,1838,0.14592058971351984,0.12425068119891008,0.1683822914051385,0.14961915125136016
81,11413,"Durango, CO: Durango La Plata County",23673,2225,23750,2247,0.1538883960630254,0.15910112359550563,0.16265263157894738,0.155318202047174
148,12819,"Ketchikan, AK: Ketchikan International",23187,1701,23332,1707,0.12632078319748136,0.13051146384479717,0.11889250814332247,0.14001171646162858
233,14574,"Roanoke, VA: Roanoke Blacksburg Regional",23080,1838,23190,1841,0.1783362218370884,0.16158868335146898,0.18473479948253557,0.16892992938620316
98,11641,"Fayetteville, NC: Fayetteville Regional/Grannis Field",22779,894,22828,893,0.1579525001097502,0.1644295302013423,0.17404065183108464,0.18365061590145576
149,12884,"Lansing, MI: Capital Region International",22686,860,22690,866,0.14824120603015076,0.10930232558139535,0.17311591009255178,0.12009237875288684
250,14794,"St. George, UT: St George Regional",22655,1570,22674,1564,0.09291547119841094,0.12993630573248408,0.09729205257122696,0.12979539641943735
80,11337,"Duluth, MN: Duluth International",22628,1208,22701,1205,0.14367155736255965,0.12831125827814568,0.16417778952469053,0.14107883817427386
6,10158,"Atlantic City, NJ: Atlantic City International",22598,1844,22584,1844,0.15488096291707232,0.20498915401301518,0.21191994332270633,0.2608459869848156
72,11252,"Daytona Beach, FL: Daytona Beach International",22233,1981,22263,1983,0.13551927315252102,0.17920242301867745,0.16134393388132776,0.19969742813918306
162,13029,"Lincoln, NE: Lincoln Airport",21754,509,21781,509,0.13877907511262297,0.14538310412573674,0.18337082778568478,0.17485265225933203
340,14082,"Punta Gorda, FL: Punta Gorda Airport",20859,4187,20854,4187,0.22043242724962847,0.229758777167423,0.2620600364438477,0.2610460950561261
163,13061,"Laredo, TX: Laredo International",20489,804,20527,801,0.13553614134413589,0.1517412935323383,0.1536025722219516,0.12234706616729088
311,15356,"Trenton, NJ: Trenton Mercer",20451,1342,20447,1352,0.23891252261503104,0.28837555886736216,0.2792096640093901,0.371301775147929
189,13433,"Minot, ND: Minot International",20386,1224,20423,1227,0.137496321004611,0.15849673202614378,0.14738285266611173,0.14751426242868787
286,16218,"Yuma, AZ: Yuma MCAS/Yuma International",20384,1045,20409,1047,0.09016875981161696,0.1320574162679426,0.10593365672007447,0.10888252148997135
307,10466,"Phoenix, AZ: Phoenix - Mesa Gateway",20323,3646,20297,3644,0.20311961816660926,0.20104223806911684,0.26944868699807856,0.23518111964873764
37,10747,"Brownsville, TX: Brownsville South Padre Island International",19825,853,19863,854,0.13074401008827238,0.1336459554513482,0.17268287771232946,0.13700234192037472
20,10434,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",19701,1319,19748,1320,0.14258159484290137,0.17664897649734648,0.19996961717642292,0.20833333333333334
236,14633,"Rochester, MN: Rochester International",19484,847,19522,846,0.14478546499692055,0.12632821723730814,0.1731892224157361,0.18085106382978725
25,10581,"Bangor, ME: Bangor International",19273,3077,19255,3082,0.17573807917812484,0.15404614884627885,0.19797455206439885,0.18170019467878
